Common latitude,Authalic (mpmath),Authalic (old code),Authalic (new code),Diff. (old - new) E-10,Diff. (new - mpmath) E-10,Diff. (old - mpmath)E-10,Authalic inverse (old code),Authalic inverse (new code),Diff. (auth_inv_new - common)E-10,Diff. (auth_inv_old - common)E-10
57.8,57.68420223023683585868470577439002851172110568132195267714326994740695,57.68420223023678,57.684202230236835,-0.0005499999999999999999999999999999999999999999999999999999971908090915818,-0.000008586847057743900285117211056813219526771432699474069550305688483594301,-0.0005585868470577439002851172110568132195267714326994740695474964975751761,57.79999999827664,57.800000000000004,0.00003999999999999999999999999999999999999999999999999999999905806898351243,-17.23360000000000000000000000000000000000000000000000000000000036754936
57.9,57.78439590762045623977596259572094945298374633751668188498525264198593,57.78439590762047,57.78439590762046,0.0001000000000000000000000000000000000000000000000000000000005429897640056,0.00003760224037404279050547016253662483318115014747358014072044811181416665,0.0001376022403740427905054701625366248331811501474735801407209911015781723,57.89999999828764,57.9,0.0,-17.12360000000000000000000000000000000000000000000000000000000002917383
58.0,57.88459099709780709376910102529174944310151793072961398851687861886906,57.88459099709777,57.88459099709782,-0.000499999999999999999999999999999999999999999999999999999996919314209579,0.0001290623089897470825055689848206927038601148312138113094109680776303723,-0.0003709376910102529174944310151793072961398851687861886905859512365792067,57.9999999982985,57.99999999999999,-0.0001000000000000000000000000000000000000000000000000000000005429897640056,-17.01500000000000000000000000000000000000000000000000000000000149702039
58.1,57.98478749631119847356656956466771095150039629490951212021973012829054,57.98478749631115,57.984787496311206,-0.0005599999999999999999999999999999999999999999999999999999984042349900721,0.00007526433430435332289048499603705090487879780269871709458123126695864574,-0.0004847356656956466771095150039629490951212021973012829054171729680314264,58.09999999830923,58.1,0.0,-16.90769999999999999999999999999999999999999999999999999999999843246465
58.2,58.08498540288559217361565852156140949573482888007535085023482010675027,58.0849854028856,58.0849854028856,0.0,0.00007826384341478438590504265171119924649149765179893249726219278853117171,0.00007826384341478438590504265171119924649149765179893249726219278853117171,58.199999998319846,58.199999999999996,-0.00003999999999999999999999999999999999999999999999999999999905806898351243,-16.80154000000000000000000000000000000000000000000000000000000039886531
58.3,58.18518471442862972219046425434373449993284733939127205681330236020471,58.18518471442863,58.18518471442864,-0.0001000000000000000000000000000000000000000000000000000000005429897640056,0.0001027780953574565626550006715266060872794318669763979529141343766992274,0.000002778095357456562655000671526606087279431866976397952913591386935221772,58.299999998330335,58.3,0.0,-16.69664999999999999999999999999999999999999999999999999999999998822059
58.4,58.28538542853066059307982074027489208938036438350993410618090172200487,58.285385428530695,58.28538542853066,0.0003499999999999999999999999999999999999999999999999999999961048295635705,-0.000005930798207402748920893803643835099341061809017220048743350644797208683,0.0003440692017925972510791061963561649006589381909827799512527541847663619,58.39999999834068,58.4,0.0,-16.59320000000000000000000000000000000000000000000000000000000044186694
58.5,58.3855875427647706363841713273687637572064242646661051464537241091968,58.385587542764746,58.385587542764775,-0.0002900000000000000000000000000000000000000000000000000000004155433935265,0.00004363615828672631236242793575735333894853546275890803202775311463904876,-0.0002463638417132736876375720642426466610514645372410919679726624287544777,58.499999998350944,58.49999999999999,-0.0001000000000000000000000000000000000000000000000000000000005429897640056,-16.49056000000000000000000000000000000000000000000000000000000065722269
58.6,58.48579105468681072812127598256967960556710238504082613018758371377905,58.485791054686786,58.48579105468683,-0.0004400000000000000000000000000000000000000000000000000000012300280395349,0.0001927187872401743032039443289761495917386981241628622095213046484021794,-0.0002472812127598256967960556710238504082613018758371377904799253796373555,58.599999998361056,58.599999999999994,-0.00005999999999999999999999999999999999999999999999999999999568928617004409,-16.38943999999999999999999999999999999999999999999999999999999985300747
58.7,58.58599596183542563833757309245563545200452469821324687744213635020894,58.58599596183541,58.58599596183543,-0.0002000000000000000000000000000000000000000000000000000000010859795280112,0.00004361662426907544364547995475301786753122557863649791062737898730162794,-0.0001563833757309245563545200452469821324687744213635020893737069922263833,58.69999999837105,58.69999999999998,-0.0002000000000000000000000000000000000000000000000000000000010859795280112,-16.28950000000000000000000000000000000000000000000000000000000313781763
